space,date,tide.1,tide.2,tide.3,tide.4
목포,2021-05-01,05:20/고/483,10:21/저/59,17:18/고/364,22:23/저/-3
여수,2021-05-01,05:56/저/76,11:53/고/271,17:50/저/49,--:--/-/--/--
속초,2021-05-01,00:18/저/-4,07:43/고/21,11:32/저/17,17:25/고/31
부산,2021-05-01,05:01/저/8,11:08/고/99,17:02/저/12,23:42/고/105
포항,2021-05-01,01:31/저/12,17:41/고/36,--:--/-/--/--,--:--/-/--/--
통영,2021-05-01,05:39/저/51,11:33/고/204,17:32/저/31,--:--/-/--/--
태안,2021-05-01,00:51/저/19,07:14/고/738,13:38/저/126,19:19/고/614
울산,2021-05-01,04:06/저/1,10:46/고/50,16:16/저/19,22:15/고/47
울릉도,2021-05-01,08:02/고/23,11:15/저/21,16:54/고/29,--:--/-/--/--
제주도,2021-05-01,01:42/고/273,08:14/저/93,13:13/고/204,20:00/저/39
인천,2021-05-01,01:27/저/6,07:43/고/883,14:07/저/128,19:52/고/756
영흥도,2021-05-01,01:12/저/8,07:31/고/831,13:54/저/130,19:38/고/708
목포,2021-05-02,06:09/고/456,11:12/저/99,18:06/고/336,23:11/저/42
여수,2021-05-02,00:41/고/307,06:52/저/107,12:40/고/241,18:40/저/81
속초,2021-05-02,01:22/저/-2,09:25/고/20,12:09/저/19,18:16/고/29
부산,2021-05-02,05:52/저/21,11:57/고/87,17:51/저/26,--:--/-/--/--
포항,2021-05-02,02:28/저/12,18:34/고/36,--:--/-/--/--,--:--/-/--/--
통영,2021-05-02,00:26/고/233,06:34/저/76,12:20/고/180,18:21/저/57
태안,2021-05-02,01:32/저/60,08:01/고/696,14:27/저/181,20:05/고/566
울산,2021-05-02,04:54/저/5,11:41/고/45,17:06/저/24,22:44/고/43
울릉도,2021-05-02,01:03/저/0,09:43/고/23,11:58/저/22,17:46/고/29
제주도,2021-05-02,02:46/고/253,09:19/저/114,14:03/고/184,20:56/저/66
인천,2021-05-02,02:06/저/59,08:28/고/831,14:53/저/194,20:37/고/698
영흥도,2021-05-02,01:52/저/60,08:16/고/781,14:40/저/193,20:23/고/651
목포,2021-05-03,07:03/고/425,12:17/저/134,19:02/고/312,--:--/-/--/--
여수,2021-05-03,01:42/고/277,08:06/저/131,13:47/고/215,19:46/저/109
속초,2021-05-03,02:33/저/-1,19:19/고/27,--:--/-/--/--,--:--/-/--/--
부산,2021-05-03,00:33/고/94,06:56/저/32,13:08/고/77,18:55/저/38
포항,2021-05-03,03:28/저/13,19:41/고/34,--:--/-/--/--,--:--/-/--/--
통영,2021-05-03,01:26/고/210,07:46/저/95,13:27/고/161,19:26/저/80
태안,2021-05-03,02:18/저/115,08:55/고/645,15:26/저/233,21:03/고/519
울산,2021-05-03,05:52/저/9,12:59/고/41,18:15/저/27,23:25/고/39
울릉도,2021-05-03,02:11/저/2,18:53/고/27,--:--/-/--/--,--:--/-/--/--
제주도,2021-05-03,04:10/고/234,10:42/저/126,15:20/고/168,22:08/저/89
인천,2021-05-03,02:50/저/127,09:18/고/771,15:48/저/259,21:33/고/639
영흥도,2021-05-03,02:36/저/126,09:08/고/723,15:37/저/253,21:19/고/593
목포,2021-05-04,00:12/저/88,08:04/고/394,13:43/저/152,20:12/고/299
여수,2021-05-04,03:07/고/255,09:49/저/138,15:29/고/204,21:21/저/126
속초,2021-05-04,03:46/저/1,12:35/고/21,15:41/저/20,20:39/고/25
부산,2021-05-04,01:51/고/85,08:26/저/38,14:59/고/75,20:26/저/45
포항,2021-05-04,04:31/저/14,21:00/고/32,--:--/-/--/--,--:--/-/--/--
통영,2021-05-04,02:51/고/193,09:25/저/103,15:14/고/154,20:56/저/94
태안,2021-05-04,03:16/저/175,10:04/고/597,16:46/저/265,22:25/고/486
울산,2021-05-04,07:08/저/13,14:42/고/39,19:49/저/28,--:--/-/--/--
울릉도,2021-05-04,03:22/저/5,12:04/고/23,15:34/저/22,20:21/고/26
제주도,2021-05-04,05:44/고/224,12:13/저/127,17:29/고/165,23:37/저/103
인천,2021-05-04,03:45/저/200,10:24/고/712,17:05/저/303,22:52/고/597
영흥도,2021-05-04,03:31/저/196,10:15/고/667,16:55/저/294,22:39/고/550
목포,2021-05-05,01:37/저/122,09:17/고/374,15:10/저/145,21:40/고/304
여수,2021-05-05,04:47/고/249,11:19/저/127,17:10/고/214,23:01/저/124
속초,2021-05-05,04:55/저/3,13:01/고/22,17:15/저/18,22:11/고/24
부산,2021-05-05,03:42/고/82,10:00/저/37,16:29/고/80,22:01/저/44
포항,2021-05-05,05:34/저/15,14:25/고/30,18:15/저/28,22:26/고/30
통영,2021-05-05,04:30/고/189,10:55/저/96,16:53/고/164,22:33/저/94
태안,2021-05-05,04:38/저/222,11:32/고/569,18:17/저/262,--:--/-/--/--
울산,2021-05-05,01:02/고/35,08:41/저/15,15:58/고/40,21:25/저/25
울릉도,2021-05-05,04:31/저/7,12:26/고/23,17:07/저/20,21:56/고/25
제주도,2021-05-05,07:00/고/220,13:25/저/118,19:08/고/176,--:--/-/--/--
인천,2021-05-05,05:05/저/258,11:51/고/677,18:37/저/303,--:--/-/--/--
영흥도,2021-05-05,04:52/저/252,11:43/고/634,18:30/저/293,--:--/-/--/--
목포,2021-05-06,03:11/저/129,10:35/고/369,16:14/저/126,23:03/고/330
여수,2021-05-06,05:58/고/255,12:13/저/110,18:14/고/234,--:--/-/--/--
속초,2021-05-06,05:55/저/5,13:17/고/22,18:23/저/15,23:39/고/23
부산,2021-05-06,05:04/고/86,11:06/저/31,17:28/고/88,23:12/저/38
포항,2021-05-06,06:33/저/17,14:50/고/30,19:35/저/26,--:--/-/--/--
통영,2021-05-06,05:42/고/194,11:52/저/83,17:56/고/181,23:46/저/85
태안,2021-05-06,00:06/고/492,06:16/저/233,12:56/고/571,19:30/저/228
울산,2021-05-06,03:46/고/35,10:02/저/13,16:50/고/42,22:33/저/20
울릉도,2021-05-06,05:32/저/9,12:40/고/24,18:09/저/18,23:23/고/24
제주도,2021-05-06,01:03/저/106,07:53/고/219,14:14/저/107,20:08/고/190
인천,2021-05-06,00:31/고/600,06:42/저/270,13:20/고/682,19:55/저/262
영흥도,2021-05-06,00:22/고/550,06:32/저/264,13:11/고/637,19:47/저/253
목포,2021-05-07,04:24/저/118,11:37/고/374,17:05/저/101,--:--/-/--/--
여수,2021-05-07,00:10/저/111,06:46/고/263,12:51/저/91,18:59/고/256
속초,2021-05-07,06:43/저/7,13:29/고/23,19:15/저/13,--:--/-/--/--
부산,2021-05-07,05:57/고/91,11:52/저/24,18:12/고/96,--:--/-/--/--
포항,2021-05-07,00:00/고/29,07:26/저/19,15:15/고/29,20:40/저/25
통영,2021-05-07,06:30/고/202,12:31/저/69,18:41/고/199,--:--/-/--/--
태안,2021-05-07,01:28/고/534,07:36/저/211,13:58/고/590,20:22/저/186
울산,2021-05-07,05:01/고/38,10:59/저/12,17:30/고/45,23:19/저/16
울릉도,2021-05-07,06:19/저/11,12:51/고/24,18:55/저/16,--:--/-/--/--
제주도,2021-05-07,02:11/저/104,08:30/고/218,14:52/저/95,20:50/고/205
인천,2021-05-07,01:54/고/650,08:03/저/240,14:25/고/712,20:49/저/208
영흥도,2021-05-07,01:46/고/596,07:54/저/234,14:15/고/662,20:41/저/200
목포,2021-05-08,00:02/고/363,05:19/저/101,12:25/고/380,17:46/저/77
여수,2021-05-08,00:58/저/97,07:23/고/270,13:23/저/75,19:37/고/275
속초,2021-05-08,00:51/고/23,07:21/저/8,13:41/고/24,19:57/저/10
부산,2021-05-08,00:02/저/30,06:37/고/96,12:31/저/18,18:50/고/103
포항,2021-05-08,01:35/고/28,08:11/저/21,15:32/고/29,21:33/저/23
통영,2021-05-08,00:36/저/74,07:07/고/209,13:05/저/55,19:20/고/215
태안,2021-05-08,02:24/고/585,08:33/저/179,14:43/고/610,21:02/저/148
울산,2021-05-08,05:51/고/41,11:43/저/10,18:06/고/46,23:58/저/12
울릉도,2021-05-08,00:35/고/24,06:56/저/13,13:04/고/25,19:33/저/14
제주도,2021-05-08,03:01/저/100,08:59/고/219,15:24/저/84,21:25/고/219
인천,2021-05-08,02:52/고/715,09:02/저/196,15:12/고/744,21:32/저/158
영흥도,2021-05-08,02:43/고/656,08:52/저/191,15:02/고/689,21:22/저/150
목포,2021-05-09,00:49/고/392,06:04/저/85,13:04/고/383,18:22/저/56
여수,2021-05-09,01:37/저/85,07:55/고/276,13:53/저/61,20:11/고/292
속초,2021-05-09,01:47/고/23,07:54/저/10,13:57/고/26,20:33/저/8
부산,2021-05-09,00:42/저/23,07:11/고/100,13:05/저/13,19:24/고/108
포항,2021-05-09,02:57/고/28,08:47/저/23,15:33/고/29,22:14/저/22
통영,2021-05-09,01:16/저/64,07:39/고/214,13:36/저/44,19:55/고/228
태안,2021-05-09,03:07/고/630,09:18/저/152,15:20/고/626,21:36/저/117
울산,2021-05-09,06:31/고/44,12:20/저/9,18:39/고/48,--:--/-/--/--
울릉도,2021-05-09,01:34/고/25,07:25/저/16,13:20/고/27,20:07/저/13
제주도,2021-05-09,03:44/저/96,09:25/고/219,15:54/저/73,21:57/고/232
인천,2021-05-09,03:36/고/773,09:48/저/158,15:50/고/768,22:08/저/119
영흥도,2021-05-09,03:27/고/709,09:38/저/153,15:40/고/709,21:57/저/111
목포,2021-05-10,01:29/고/415,06:43/저/73,13:37/고/383,18:54/저/40
여수,2021-05-10,02:11/저/76,08:24/고/280,14:22/저/50,20:44/고/306
속초,2021-05-10,02:35/고/24,08:22/저/12,14:16/고/27,21:07/저/7
부산,2021-05-10,01:18/저/17,07:40/고/103,13:36/저/9,19:56/고/112
포항,2021-05-10,04:10/고/29,09:11/저/26,15:15/고/30,22:48/저/21
통영,2021-05-10,01:52/저/56,08:08/고/217,14:06/저/35,20:29/고/238
태안,2021-05-10,03:43/고/664,09:56/저/133,15:51/고/635,22:06/저/96
울산,2021-05-10,00:32/저/9,07:04/고/46,12:53/저/10,19:10/고/50
울릉도,2021-05-10,02:25/고/25,07:52/저/18,13:39/고/28,20:38/저/12
제주도,2021-05-10,04:20/저/93,09:51/고/220,16:22/저/63,22:27/고/243
인천,2021-05-10,04:13/고/814,10:28/저/133,16:22/고/782,22:40/저/92
영흥도,2021-05-10,04:03/고/749,10:16/저/127,16:13/고/722,22:28/저/83
목포,2021-05-11,02:06/고/430,07:18/저/67,14:07/고/380,19:24/저/29
여수,2021-05-11,02:44/저/70,08:52/고/282,14:50/저/44,21:15/고/317
속초,2021-05-11,03:18/고/24,08:48/저/14,14:37/고/29,21:39/저/6
부산,2021-05-11,01:51/저/13,08:07/고/104,14:06/저/8,20:27/고/115
포항,2021-05-11,05:24/고/30,09:26/저/28,15:07/고/32,23:20/저/21
통영,2021-05-11,02:25/저/52,08:35/고/219,14:34/저/30,21:00/고/246
태안,2021-05-11,04:16/고/686,10:30/저/123,16:21/고/639,22:34/저/83
울산,2021-05-11,01:05/저/7,07:35/고/48,13:24/저/11,19:41/고/51
울릉도,2021-05-11,03:14/고/26,08:17/저/20,13:59/고/30,21:09/저/12
제주도,2021-05-11,04:55/저/92,10:16/고/219,16:48/저/56,22:57/고/251
인천,2021-05-11,04:46/고/839,11:03/저/121,16:53/고/788,23:09/저/76
영흥도,2021-05-11,04:37/고/774,10:51/저/114,16:44/고/727,22:58/저/67
목포,2021-05-12,02:40/고/439,07:51/저/66,14:36/고/376,19:52/저/22
여수,2021-05-12,03:16/저/68,09:20/고/282,15:18/저/41,21:47/고/323
속초,2021-05-12,04:01/고/24,09:13/저/16,15:01/고/30,22:12/저/5
부산,2021-05-12,02:21/저/11,08:32/고/105,14:34/저/9,20:56/고/117
포항,2021-05-12,06:37/고/31,09:45/저/30,15:13/고/34,23:53/저/20
통영,2021-05-12,02:57/저/50,09:01/고/218,15:01/저/28,21:31/고/250
태안,2021-05-12,04:46/고/699,11:03/저/121,16:50/고/637,23:01/저/76
울산,2021-05-12,01:36/저/5,08:05/고/50,13:53/저/13,20:10/고/52
울릉도,2021-05-12,04:06/고/27,08:41/저/22,14:20/고/31,21:43/저/11
제주도,2021-05-12,05:27/저/93,10:43/고/217,17:14/저/51,23:28/고/257
인천,2021-05-12,05:17/고/851,11:35/저/120,17:23/고/788,23:37/저/69
영흥도,2021-05-12,05:09/고/787,11:25/저/112,17:15/고/726,23:27/저/60
목포,2021-05-13,03:13/고/443,08:23/저/68,15:05/고/371,20:20/저/20
여수,2021-05-13,03:46/저/69,09:47/고/279,15:46/저/43,22:18/고/324
속초,2021-05-13,04:46/고/24,09:38/저/17,15:26/고/31,22:46/저/4
부산,2021-05-13,02:51/저/10,08:58/고/105,15:01/저/11,21:26/고/118
포항,2021-05-13,07:41/고/33,09:45/저/32,15:30/고/35,--:--/-/--/--
통영,2021-05-13,03:28/저/51,09:27/고/216,15:28/저/29,22:02/고/251
태안,2021-05-13,05:16/고/705,11:34/저/127,17:19/고/630,23:29/저/75
울산,2021-05-13,02:07/저/4,08:34/고/51,14:21/저/15,20:38/고/52
울릉도,2021-05-13,05:03/고/28,09:05/저/24,14:43/고/32,22:20/저/11
제주도,2021-05-13,05:58/저/96,11:10/고/214,17:42/저/50,--:--/-/--/--
인천,2021-05-13,05:47/고/853,12:06/저/126,17:52/고/781,--:--/-/--/--
영흥도,2021-05-13,05:39/고/791,11:57/저/119,17:45/고/718,23:56/저/64
목포,2021-05-14,03:46/고/442,08:54/저/75,15:35/고/364,20:49/저/21
여수,2021-05-14,04:18/저/75,10:16/고/274,16:16/저/49,22:50/고/319
속초,2021-05-14,05:34/고/24,10:03/저/19,15:54/고/32,23:22/저/5
부산,2021-05-14,03:22/저/12,09:26/고/104,15:29/저/14,21:58/고/117
포항,2021-05-14,00:28/저/20,15:54/고/37,--:--/-/--/--,--:--/-/--/--
통영,2021-05-14,03:59/저/55,09:55/고/212,15:57/저/34,22:34/고/247
태안,2021-05-14,05:46/고/704,12:05/저/140,17:48/고/619,23:57/저/80
울산,2021-05-14,02:38/저/4,09:03/고/51,14:48/저/18,21:06/고/52
울릉도,2021-05-14,06:14/고/28,09:29/저/26,15:07/고/33,23:02/저/11
제주도,2021-05-14,00:00/고/259,06:31/저/102,11:38/고/210,18:12/저/52
인천,2021-05-14,00:06/저/70,06:16/고/849,12:37/저/140,18:22/고/767
영흥도,2021-05-14,06:09/고/787,12:28/저/134,18:15/고/705,--:--/-/--/--
목포,2021-05-15,04:18/고/438,09:27/저/85,16:07/고/354,21:21/저/28
여수,2021-05-15,04:50/저/85,10:45/고/264,16:47/저/61,23:24/고/309
속초,2021-05-15,06:30/고/24,10:28/저/20,16:23/고/32,--:--/-/--/--
부산,2021-05-15,03:54/저/15,09:56/고/101,16:00/저/20,22:30/고/113
포항,2021-05-15,01:04/저/20,16:23/고/38,--:--/-/--/--,--:--/-/--/--
통영,2021-05-15,04:31/저/62,10:24/고/204,16:27/저/43,23:07/고/240
태안,2021-05-15,06:16/고/698,12:37/저/158,18:17/고/603,--:--/-/--/--
울산,2021-05-15,03:09/저/6,09:33/고/50,15:18/저/21,21:34/고/51
울릉도,2021-05-15,07:33/고/28,09:52/저/27,15:35/고/33,23:47/저/11
제주도,2021-05-15,00:35/고/257,07:07/저/110,12:09/고/203,18:46/저/59
인천,2021-05-15,00:34/저/79,06:46/고/839,13:08/저/161,18:52/고/747
영흥도,2021-05-15,00:25/저/76,06:39/고/778,12:59/저/156,18:45/고/686
목포,2021-05-16,04:52/고/430,10:03/저/100,16:43/고/341,21:55/저/40
여수,2021-05-16,05:26/저/98,11:17/고/250,17:21/저/76,--:--/-/--/--
속초,2021-05-16,00:01/저/5,07:38/고/23,10:52/저/21,16:55/고/31
부산,2021-05-16,04:28/저/21,10:27/고/96,16:34/저/26,23:06/고/108
포항,2021-05-16,01:42/저/20,16:54/고/38,--:--/-/--/--,--:--/-/--/--
통영,2021-05-16,05:05/저/73,10:55/고/194,17:01/저/55,23:45/고/229
태안,2021-05-16,00:26/저/91,06:47/고/686,13:09/저/182,18:48/고/584
울산,2021-05-16,03:42/저/8,10:05/고/48,15:51/저/24,22:03/고/48
울릉도,2021-05-16,16:06/고/33,--:--/-/--/--,--:--/-/--/--,--:--/-/--/--
제주도,2021-05-16,01:13/고/251,07:49/저/120,12:43/고/194,19:24/저/70
인천,2021-05-16,01:03/저/96,07:16/고/824,13:40/저/189,19:23/고/721
영흥도,2021-05-16,00:54/저/95,07:10/고/765,13:31/저/183,19:15/고/663
목포,2021-05-17,05:29/고/418,10:43/저/117,17:21/고/328,22:34/저/59
여수,2021-05-17,00:02/고/294,06:05/저/114,11:53/고/234,18:01/저/93
속초,2021-05-17,00:46/저/6,08:56/고/23,11:17/저/22,17:30/고/31
부산,2021-05-17,05:05/저/28,11:03/고/90,17:15/저/34,23:46/고/102
포항,2021-05-17,02:21/저/20,17:27/고/38,--:--/-/--/--,--:--/-/--/--
통영,2021-05-17,05:44/저/85,11:31/고/182,17:41/저/69,--:--/-/--/--
태안,2021-05-17,00:58/저/110,07:21/고/667,13:45/저/210,19:23/고/560
울산,2021-05-17,04:19/저/10,10:40/고/46,16:33/저/26,22:34/고/45
울릉도,2021-05-17,00:35/저/12,16:44/고/32,--:--/-/--/--,--:--/-/--/--
제주도,2021-05-17,01:58/고/242,08:39/저/130,13:23/고/185,20:10/저/83
인천,2021-05-17,01:34/저/121,07:49/고/803,14:14/저/223,19:57/고/690
영흥도,2021-05-17,01:24/저/120,07:43/고/746,14:05/저/215,19:49/고/637
목포,2021-05-18,06:10/고/404,11:29/저/135,18:07/고/316,23:22/저/82
여수,2021-05-18,00:47/고/278,06:55/저/130,12:38/고/218,18:54/저/110
속초,2021-05-18,01:39/저/7,18:14/고/30,--:--/-/--/--,--:--/-/--/--
부산,2021-05-18,05:51/저/35,11:51/고/83,18:10/저/41,--:--/-/--/--
포항,2021-05-18,03:01/저/20,18:04/고/37,--:--/-/--/--,--:--/-/--/--
통영,2021-05-18,00:29/고/216,06:33/저/98,12:17/고/169,18:35/저/83
태안,2021-05-18,01:34/저/137,08:01/고/641,14:27/저/237,20:05/고/534
울산,2021-05-18,05:01/저/13,11:28/고/43,17:34/저/29,23:15/고/42
울릉도,2021-05-18,01:27/저/12,17:32/고/31,--:--/-/--/--,--:--/-/--/--
제주도,2021-05-18,02:54/고/232,09:43/저/137,14:17/고/175,21:07/저/95
인천,2021-05-18,02:09/저/154,08:28/고/774,14:54/저/259,20:38/고/655
영흥도,2021-05-18,01:59/저/150,08:22/고/722,14:46/저/248,20:30/고/609
목포,2021-05-19,06:58/고/391,12:29/저/149,19:02/고/308,--:--/-/--/--
여수,2021-05-19,01:44/고/262,08:04/저/141,13:53/고/206,20:09/저/123
속초,2021-05-19,02:40/저/8,19:13/고/28,--:--/-/--/--,--:--/-/--/--
부산,2021-05-19,00:39/고/95,06:51/저/41,13:12/고/79,19:28/저/46
포항,2021-05-19,03:46/저/21,18:48/고/36,--:--/-/--/--,--:--/-/--/--
통영,2021-05-19,01:26/고/204,07:42/저/107,13:37/고/160,19:51/저/93
태안,2021-05-19,02:18/저/172,08:51/고/610,15:23/저/259,21:06/고/508
울산,2021-05-19,05:54/저/16,12:48/고/42,19:03/저/30,--:--/-/--/--
울릉도,2021-05-19,02:22/저/12,11:22/고/27,13:35/저/26,18:35/고/29
제주도,2021-05-19,04:04/고/224,10:59/저/137,15:45/고/170,22:19/저/104
인천,2021-05-19,02:51/저/195,09:16/고/740,15:47/저/291,21:35/고/624
영흥도,2021-05-19,02:42/저/186,09:11/고/693,15:39/저/275,21:28/고/583
목포,2021-05-20,00:24/저/107,07:56/고/380,13:45/저/150,20:12/고/311
여수,2021-05-20,03:00/고/254,09:33/저/139,15:43/고/209,21:41/저/124
속초,2021-05-20,03:44/저/8,11:58/고/25,15:52/저/23,20:34/고/27
부산,2021-05-20,01:54/고/91,08:15/저/42,15:12/고/80,20:57/저/44
포항,2021-05-20,04:37/저/21,13:53/고/35,--:--/-/--/--,--:--/-/--/--
통영,2021-05-20,02:42/고/198,09:11/저/106,15:31/고/164,21:21/저/93
태안,2021-05-20,03:21/저/209,09:58/고/585,16:39/저/264,22:32/고/501
울산,2021-05-20,00:25/고/40,07:05/저/18,14:48/고/43,20:37/저/28
울릉도,2021-05-20,03:20/저/12,11:32/고/27,15:29/저/25,19:55/고/28
제주도,2021-05-20,05:21/고/222,12:11/저/128,17:35/고/176,23:39/저/106
인천,2021-05-20,03:50/저/237,10:22/고/708,17:01/저/303,22:58/고/612
영흥도,2021-05-20,03:41/저/222,10:18/고/668,16:52/저/284,22:50/고/576
목포,2021-05-21,01:48/저/122,09:03/고/376,15:04/저/132,21:36/고/330
여수,2021-05-21,04:22/고/257,10:50/저/122,17:11/고/230,23:03/저/111
속초,2021-05-21,04:44/저/9,12:11/고/26,17:12/저/20,22:11/고/26
부산,2021-05-21,03:22/고/92,09:39/저/37,16:32/고/89,22:14/저/37
포항,2021-05-21,05:30/저/22,13:44/고/35,17:49/저/33,21:30/고/34
통영,2021-05-21,04:03/고/201,10:30/저/93,16:55/고/181,22:42/저/83
태안,2021-05-21,04:47/저/230,11:20/고/578,18:03/저/237,--:--/-/--/--
울산,2021-05-21,02:13/고/40,08:28/저/18,16:00/고/46,21:49/저/25
울릉도,2021-05-21,04:17/저/13,11:43/고/27,16:51/저/23,21:29/고/27
제주도,2021-05-21,06:23/고/225,13:07/저/113,18:52/고/192,--:--/-/--/--
인천,2021-05-21,05:13/저/262,11:46/고/699,18:26/저/278,--:--/-/--/--
영흥도,2021-05-21,05:03/저/243,11:37/고/662,18:14/저/258,--:--/-/--/--
목포,2021-05-22,03:19/저/115,10:14/고/381,16:08/저/98,22:54/고/365
여수,2021-05-22,05:31/고/270,11:47/저/97,18:12/고/260,--:--/-/--/--
속초,2021-05-22,05:37/저/10,12:26/고/27,18:11/저/17,23:43/고/27
부산,2021-05-22,04:36/고/97,10:43/저/27,17:28/고/99,23:16/저/27
포항,2021-05-22,06:24/저/24,13:55/고/35,18:44/저/31,--:--/-/--/--
통영,2021-05-22,05:12/고/211,11:28/저/73,17:56/고/205,23:47/저/67
태안,2021-05-22,00:05/고/530,06:18/저/217,12:37/고/596,19:11/저/186
울산,2021-05-22,03:45/고/43,09:43/저/16,16:51/고/49,22:43/저/20
울릉도,2021-05-22,05:12/저/14,11:57/고/28,17:49/저/20,23:12/고/27
제주도,2021-05-22,00:54/저/101,07:14/고/230,13:52/저/94,19:49/고/215
인천,2021-05-22,00:32/고/645,06:45/저/247,13:07/고/723,19:40/저/217
영흥도,2021-05-22,00:20/고/608,06:33/저/228,12:54/고/683,19:26/저/201
목포,2021-05-23,04:32/저/92,11:18/고/393,17:02/저/57,23:58/고/409
여수,2021-05-23,00:08/저/92,06:26/고/286,12:33/저/69,19:03/고/293
속초,2021-05-23,06:25/저/11,12:46/고/29,19:03/저/13,--:--/-/--/--
부산,2021-05-23,05:34/고/105,11:36/저/16,18:18/고/110,--:--/-/--/--
포항,2021-05-23,00:04/고/34,07:18/저/26,14:00/고/35,19:36/저/29
통영,2021-05-23,06:06/고/224,12:15/저/49,18:47/고/231,--:--/-/--/--
태안,2021-05-23,01:19/고/588,07:34/저/178,13:40/고/627,20:06/저/128
울산,2021-05-23,04:53/고/48,10:44/저/13,17:36/고/53,23:30/저/15
울릉도,2021-05-23,06:02/저/16,12:16/고/29,18:39/저/17,--:--/-/--/--
제주도,2021-05-23,02:01/저/92,07:58/고/236,14:34/저/70,20:40/고/240
인천,2021-05-23,01:48/고/716,08:05/저/200,14:13/고/765,20:39/저/145
영흥도,2021-05-23,01:35/고/672,07:50/저/186,13:58/고/717,20:24/저/133
목포,2021-05-24,05:31/저/64,12:14/고/404,17:49/저/17,--:--/-/--/--
여수,2021-05-24,01:03/저/71,07:14/고/302,13:17/저/43,19:51/고/324
속초,2021-05-24,01:00/고/28,07:09/저/13,13:11/고/31,19:52/저/9
부산,2021-05-24,00:10/저/16,06:25/고/112,12:23/저/6,19:05/고/120
포항,2021-05-24,02:26/고/35,08:09/저/30,14:03/고/37,20:28/저/27
통영,2021-05-24,00:43/저/50,06:55/고/237,12:59/저/26,19:36/고/255
태안,2021-05-24,02:17/고/653,08:36/저/135,14:34/고/656,20:55/저/74
울산,2021-05-24,05:50/고/53,11:35/저/12,18:20/고/56,--:--/-/--/--
울릉도,2021-05-24,00:43/고/28,06:47/저/18,12:39/고/31,19:26/저/14
제주도,2021-05-24,02:59/저/81,08:40/고/242,15:16/저/46,21:27/고/266
인천,2021-05-24,02:48/고/797,09:09/저/145,15:08/고/805,21:30/저/77
영흥도,2021-05-24,02:35/고/745,08:54/저/138,14:53/고/750,21:15/저/69
목포,2021-05-25,00:55/고/451,06:22/저/40,13:05/고/411,18:34/저/-17
여수,2021-05-25,01:53/저/54,08:00/고/313,14:00/저/21,20:38/고/350
속초,2021-05-25,02:06/고/28,07:52/저/15,13:42/고/33,20:41/저/5
부산,2021-05-25,01:00/저/6,07:13/고/118,13:09/저/-2,19:52/고/128
포항,2021-05-25,04:20/고/37,08:54/저/34,14:16/고/39,21:24/저/25
통영,2021-05-25,01:33/저/35,07:42/고/245,13:42/저/8,20:23/고/274
태안,2021-05-25,03:08/고/710,09:30/저/100,15:22/고/675,21:40/저/34
